Values,Attention Deployment,Response Modulation,Reappraisal,Correct,Reg,RegDesc,EventKey,EventDesc,Emotion,Intense
2944,0,0,0,1,Decrease,move on to next part of tour,creeper,people coming out from the dark spots in the walls,surprised,3
2732,0,0,0,1,Decrease,move on to next part of tour,creeper,people coming out from the dark spots in the walls,shocked,3
1981,1,0,0,0,Increase,Opera singing back to actress,Opera,Opera singer opera singing,joyful,2
109,0,1,0,1,Decrease,stuff it down,creeper,people coming out from the dark spots in the walls,angry,1
817,0,0,0,1,Increase,By getting out of the room,Wrench,"The man with the wrench yelling in our faces about surrendering ourselves to the machine was a little startling, just based on how close he got and the way he talked about giving up and surrendering our...flesh. ",defensive,2
1984,0,0,0,0,Increase,The person I experienced the event with laughed about it and we continued to joke about it afterwards.,weirdguy,"a man came up to someone behind me and said something along the lines of ""the people in the back of the line are easiest to drag away."" they responded and said ""that is true!"" it was funny, we both laughed.",joyful,3
1337,0,0,1,1,Decrease,I tried to reduce the fear of falling and embarrassing myself by recognizing it was a short platform that if I hustled up I would be fine.,Hallway,"I did not know if this was part of one of the sets but I would be remiss if I did not mention it.  This is the long tunnel that we entered before the Shop set.  This was emotionally evocative because the strobe light and decreased visibility due to smoke really made me feel as if I was ""skipping frames"" in real life, and everyone time I saw a flash the person in front of me was in a different spot and the actors walking about appeared or vanished like that.  Also, there was one point where the line stopped for some reason and an actor bumped into me and apologized                          because he knew they were not allowed to touch us and kept saying he did not anticipate the line stopping like that.",fearful,1
791,0,0,0,1,Decrease,I leaned in to hear and understand what the man was saying,Amused,"Man pretending to be a director and us actors before the movie section, and him yelling at us",curious,3
2055,0,0,0,0,Increase,The person I experienced the event with laughed about it and we continued to joke about it afterwards.,weirdguy,"a man came up to someone behind me and said something along the lines of ""the people in the back of the line are easiest to drag away."" they responded and said ""that is true!"" it was funny, we both laughed.",laughable,3
2725,0,1,0,1,Decrease,"Again, I calmed down because I did not want to fall.",shaky,"The floor was made out of these two sliding plates, I slipped on one of them and I got taken off guard.",shocked,3
1807,0,0,0,1,Decrease,look aruond at others,jumpscare,actor walking up to me and getting in my face,horrified,1
1086,1,0,0,1,Increase,I tried to look less around me so I can become more excited for the rest of the tour,Loud,"I would say walking through the long hallway on the way out, I did not know when people were hiding and going to jump out. Everyone was dressed in black and I did not know if they were going to jump out. I knew it was coming but did not know when which got my heart racing the most",excited,3
2744,0,0,0,1,Decrease,looked away and kept walking,shadow person,after we walked into the building there was a person that i didnt see that jumped out at me  to my left,shocked,2
1629,0,0,0,1,Decrease,Same as above ,Strobe,"The strobe light hallway was one of the first things that really unsettled me. Initially, it was fine, but as the fog grew thicker and the strobe lights felt more overwhelming it was a lot harder to keep track of what was going on. Just as I was about to get really dizzy we exited the hallway. ",frustrated,2
2923,0,1,0,1,Decrease,I tried to not let the noise freak me out,Shocked,NA,stunned,3
3371,0,0,1,0,Decrease,look at situation from outside view,fun,"meat freezer, the guy in there jumped out at me and got me pretty good",weird,2
2131,0,0,1,0,Decrease,remind myself the box will shake,box,"creature in a box, shakes back and forth, empty box, cloudy windows",nervous,2
776,1,0,0,0,Increase,By thinking and looking around more,Ominous ,"We entered the long hallway that was the widest section of the part. At first it looked like there wasnt much except a few holes in the wall where the cells were. Then smoke shot out, hid the view and multiple actors appeared and converged on the group with jump scares",curious,1
646,1,0,0,1,Decrease,I stared at the woman longer to try & figure out what she was doing with her body.,Contortionist ,The woman who was rolling around on the ground,confused,1
2216,0,0,0,1,Decrease,hold friends hand,strobe lights ,"at the end of machine shop, there was a long dark hallway where strobe lights were going off. I remember feeling like i couldn't tell what I was looking at and was scared to move forward. ",nervous,2
882,1,0,1,1,Decrease,"Take deep breaths, remind myself they're just a character and the mask isn't real, focus on the person in front of me",hiss,Another event was when we were leaving the jail cell section and the character was running back and forth hissing at people and hanging his head out. His mask had some sort of freaky black smile. He was cocking his head and locking eyes with people. He broke character to tell someone to put their mask on which was sort of comforting.,disgusted,2
3117,1,0,0,1,Increase,I tried to make myself as dizzy as I could because I found it enjoyable,tunnel,The spinning tunnel where it was like hard to walk straight,thrilled,2
2194,1,0,1,1,Decrease,I tried to focus on my breathing and told myself that it wasn't real,Anxiety-inducing,"The ending of machine shop was the scariest for me. Walking towards the woman at the end of the long hallway with the strobe lights really freaked me out and left me on edge. Then when she followed us for a bit, I got even more freaked out.",nervous,3
3373,1,0,0,0,Decrease,Talked to her,Foreign,The cages and the foreign lady. She was creepy and yelling in some foreign language overall she was pretty weird and scary,weird,2
55,1,0,0,1,Increase,Tried to focus what was in front of me instead of behind.,Uneasy,The first emotionally-evocative event that occurred within THE CRYPT was at the at the end of the bus. I was disoriented since it was dark and I'm not sure if it was a human or a mechanical prop but it cause me to be more alert.,alert,4
3408,1,0,0,1,Decrease,slowing down my breathing and checking my surroundings,rattled,When the guy at the top near the exit slammed his cage down I was not expecting it.,worried,2
3091,0,0,0,1,Decrease,I tried to run fast through it. ,difficult ,The ground shaking when we walked through that box thing. I remember it felt like the ground was really moving and it was hard to walk. ,terrified,2
1947,1,0,0,0,Increase,I looked closer at the room and took photos of it, meat,"we entered machine shop through a box made of red raw meat dripping down from the walls. it looked wet and real. as i stepped out of the box, a scary woman with a cleaver jumped out at me and i ran around her to get to the other side.",intrigue,3
2413,0,1,0,1,Increase,i attempted to reduce the relief because i wanted to experience being scared more,people train,entering the bus,relieved,2
2112,0,0,0,0,Decrease,I reduced my nervous emotion by talking myself through it. ,loud ,The second event was the guy with a chain-saw coming at you. ,nervous,3
2763,0,0,0,1,Decrease,reduce this by getting through it fast and then talking the second I got out,Bus,the school bus. I thought all the people were gonna jump out and scare me but they didn't thank god but the anticipation made it the most scary,silent,4
1293,0,0,1,1,Decrease,I told myself that the person behind the window could not hurt me,Grab,Moving floor in the crypt with the U hallway,fearful,2
2227,1,0,1,1,Decrease,slowing my breathing and realizing it's just a haunted house,overwhelming,The first emotionally-evocative event was when the strobe lights that relly had me worried about my surroundings and if there were gonna be any other jumpscares during it because I wouldn't be able to see it coming.,nervous,1
