Values,Attention Deployment,Response Modulation,Reappraisal,Correct,Reg,RegDesc,EventKey,EventDesc,Emotion,Intense
3451,0,0,1,1,Decrease,Knowing that he wasn't actually going to harm us with the chainsaw.,chainsaw,When we turned the corner to get to the outside part there was a man with a chainsaw who started yelling and chasing us while using the chainsaw.,worried,3
3412,1,0,0,1,Decrease,Looking out for the employees to see where they would jump out from ,frightening,walking through the school bus with the fake dead bodies,worried,3
3411,0,0,0,0,Decrease,by figuring out the floor was still safe ,floor,the floor boards moved under our feet when we stepped on them  it was a narrow pathway,worried,1
3401,0,0,1,1,Decrease,by telling myself the people couldnt touch me,bus,Walking through the bus at the beginning of the Crypt section. There were people sitting on the bus in the seats as we walked down the middle. ,worried,3
3398,0,0,0,1,Decrease,moving quickly ,clown,"walking through the tunnel in the first attraction, there was a clown at the end that gave me a lot of anxiety",worried,3
3391,0,0,0,1,Decrease,I stood with my friends and held their hands.,axe,"The person at the beginning had all white eyes, was wearing a red outfit, and was cutting off each group with a bloody hand saw that she had in her hand. ",worried,3
3381,1,0,0,0,Decrease,"Similarly I thought people would jump out at areas I felt most comfortable in and focused most on (i.e., distracted from surroundings).",Hand,"The third most evocative event was the hand in the table saw.  I think it was because most of the tour it was eyes front staying in line trying not to really react or be susceptible to the actors, so when I saw something I felt comfortable with looking at/investigating a little more I took the time to remember it.",wonder,3
3356,1,0,0,0,Decrease,"By putting my hands out, walking slowly, and following closely behind the person in front of me so they got most of the scaring",Strange,"In Delirium, I remember first stepping into the area with my 3D glasses on and thinking how strange and also cool the scenery was. Everything was distorted and coming out towards me. I was putting my hands out trying to feel for where exactly the walls, pipes, and props started. The neon colors only added to the strangeness of it all. It had been years since I had worn 3D glasses and was not used to it.",wary,2
3353,0,0,0,1,Decrease,I walked quickly past the area.,Worried,"Also in the crypt, in the jail cell maze, there was a point when we passed an actor who was literally hanging from the bars/perched on one of the cells in the air. That was freaky because they were RIGHT up at my face level, on my right side. I was very worried it would touch me. I had to turn my face away and cower into my roommate to the left to avoid making eye contact with it. It didn't try anything luckily, just made a growling noise. Right after that was when we ran into the crazy lady and the hanging flashing box.",wary,2
3351,0,0,1,1,Decrease,I told myself that the actors were not allowed to touch me. ,Uneasy,"Walking inside and having it immediately be pitch black. I could tell that there was a man waiting in the dark corner, but I couldn't see well enough to tell when he would come out. I tried to walk to the left, away from him, but was pushed towards him by another actor who was wielding a cinderblock. The actor in the shadows attempted to hit me with a pipe.",wary,1
3343,0,1,0,1,Decrease,"I tried to speed walk away so I was out of range of the chainsaw, and also laughed it off.",Startling,"When we walked out into the outdoor garden, there was a man with a chainsaw who was near the group ahead of us. I stopped, but there were two people behind me, so I had to keep going. The man walked up towards me, not to fast, but then lunged and turned the chainsaw on at the level of my knees. I screamed and then laughed while I tried to run away.",wary,1
3336,0,0,0,0,Decrease,by getting away from the man ,anxiety,the man started walking behind us down the ramp with a chain saw. there was a smell of gas ,urgency,3
3333,0,0,0,1,Decrease,hold friends hand ,strobe lights ,"at the end of machine shop, there was a long dark hallway where strobe lights were going off. I remember feeling like i couldn't tell what I was looking at and was scared to move forward. ",upset,1
3332,1,0,0,1,Decrease,"deep breath, look forward, hold friend's hand",chain saw ,character chasing with a chain saw. ,upset,3
3330,1,0,0,1,Decrease,"deep breath, look forward, hold friend's hand",bus ,Bus walk through. dark with fog/smoke surrounding. people sitting in the seats. cannot see in front of me or know where to walk. Exit bus. ,upset,3
3322,0,1,0,0,Decrease,I tried to look ahead and prepare myself mentally,Suspenseful ,"The second emotionally evocative event I remember experiencing is when the clowns from the exhibit scared and started some of the other participants in front of me, which put me on alert to begin with.",unsure,2
3310,0,0,0,0,Decrease,I tried to gain My balance by holding the wall and moving more quickly over the floor,Floor,"At one point, we had to walk through a hallway or something, and the floor started sliding out around us. I quickly gained my balance and bearings, but I remember others from our group were exclaiming, and it took them by surprise. I remember wondering if someone could fall and get hurt.",unsteady,3
3301,0,0,0,0,Decrease,i looked away,bodies,seeing the dead bodies hanging upside down and having to walk past them,unsettled,3
3300,0,0,1,0,Decrease,by remembering it is just for entertainment and that they will not hurt me,nervous,Getting followed by the big man with a chainsaw,unsettled,3
3287,0,0,1,0,Decrease,"I reminded myself that there was much ground to cover, and I should be prepared for anything.",Beginning,"The actor that was letting people in suddenly swung his tool in my face right as I was about to enter the room. Since I wasn't paying attention, it caught me off guard and I felt myself quickly move away. ",unprepared,3
3273,0,0,0,0,Decrease,After I was in the room I had to adjust to my surroundings.,Jungle,I remember walking through the body parts hanging from the ceiling because one of them brushed against me and I was not used to being touched by anything. I also had to manuevere through the parts.,unfamiliar,2
3266,0,1,0,0,Decrease,Separate my thoughts from myself,Scared,"The laser room, couldn’t see my feet or anything below my waist",uneasy,1
3259,1,0,0,1,Decrease,I kept closing my eyes and calling my friends name even though it was so dark,scared,there was a hallway in one of the sections that had a very very dark hallway full of smoke so that you could not see anything. it was so loud so it felt like you could not use any of your senses. there were people walking and running around that you could barely see,uneasy,3
3242,0,0,1,1,Decrease,knowing they were fake ,bodies,there were bodies hanging from the ceiling. they were swaying.,uneasy,2
3236,1,0,0,0,Decrease,I took a deep breathe and reminded myself there was a lot of remaining area to cover. ,Beginning,"The actor that was letting people in suddenly swung his tool in my face right as I was about to enter the room. Since I wasn't paying attention, it caught me off guard and I felt myself quickly move away. ",uneasy,2
3211,0,0,1,1,Decrease,calm myself down by reminding myself its fake,up-close ,Someone whispered in my ear,uncomfortable,3
3208,1,0,0,0,Decrease,i tried to get focus on my footing as the floor was moving,uneasy,The floor boards moving was definitely kind of scary and a bit uncomfortable.,uncomfortable,2
3202,0,0,1,1,Decrease,I tried to remind myself that it's not a big deal if the actor gets in my face,laugh,"I was at the back of the group and the actor scared the person in front of me but failed to make me jump. The actor went up to me and said ""you're not scared are you."" He then followed me for a little bit and snarled in my face. The snarling in the face caused me to laugh. I'm not sure why I laughed but I laughed every time the actors got in my face. I think it was because I was a bit uncomfortable with having the actor so close to my face. ",uncomfortable,1
3196,1,1,0,0,Decrease,"I tried my best not to think about the need to use the bathroom, and instead focused on the attraction around me. ",Bathroom,"When we were in Machine Shop, I remember suddenly having to use the restroom. Being that we were in the middle of the attraction, and not wanting to hold up the group, I held it in until I returned home that night. ",uncomfortable,2
3192,1,0,0,1,Decrease,tried to see what was coming so i knew what was there ,surprising ,when we walked into the freezer portion some dude was like hissing and yelling and then he like ran right next to me and hissed like in my ear through all the bodies and through the strobe lights. ,uncertain,0
3191,1,0,0,1,Decrease,I tried to figure out what was happening with the floor,floor,moving floor,uncertain,3
3184,0,0,1,1,Decrease,Reminding myself that even if there were people waiting to jump at me they couldn't touch me,uncertain,going up the steps of the bus and seeing seats filled with maybe-people-maybe-not with flashing strobe lights,uncertain,3
3172,0,0,0,1,Decrease,find my feeting,discombobulating ,the floorboards moving ,unbalanced,3
3169,0,0,0,0,Decrease,I tried to take my time on this thing but quickly realized the faster I got off the faster I was back on stable ground.,Hallway,"I did not know if this was part of one of the sets but I would be remiss if I did not mention it.  This is the long tunnel that we entered before the Shop set.  This was emotionally evocative because the strobe light and decreased visibility due to smoke really made me feel as if I was ""skipping frames"" in real life, and everyone time I saw a flash the person in front of me was in a different spot and the actors walking about appeared or vanished like that.  Also, there was one point where the line stopped for some reason and an actor bumped into me and apologized                          because he knew they were not allowed to touch us and kept saying he did not anticipate the line stopping like that.",unbalanced,3
3168,0,0,0,1,Decrease,I could not take any action to limit this feeling of unbalance.  Any action whether it was closing my eyes or focusing on one object straight ahead neglected focusing on small steps or seeing my feet so I went through feeling dizzy/unbalanced and unable to reduce the emotion (feeling).,Tunnel,"The second emotionally-evocative was the spinning tunnel and moving footbridge.  I This was so because I remember exclaiming how ""trippy"" I thought this was due to the 3-D glasses and lights that were on the spinning tunnel, and the off-kilter and moving footbridge really making me dizzy and feeling like I was going to fall.",unbalanced,3
3155,0,0,1,1,Decrease,By reminding myself it was just a horror tour and not real,Chilling,"We walked through a hall that had portraits of people along the wall. It seemed to me that the pictures changed as we walked by them so I was looking at each picture intently, trying to uncover this metamorphosis. When go by this wall that has a hole where a picture should be, I as still staring hard, expecting another portrait. In it's place was a shrieking person and my blood almost jumped out of my flesh.",trembling,4
3152,0,0,0,1,Decrease,I tried to get through it quickly.,Narrow,There was a person in the beginning of the narrow bus that jump scared me by coming up in my face with flashing dim lights.,trapped,2
3133,0,0,0,0,Decrease,I opened my eyes to the bright lights to wake me up,Bright,The bus hurt my eyes a little bit. ,tired,4
3119,1,0,0,0,Decrease,I took deep breaths,saw,we were walking on a ramp and a man with a chain saw revved up or powered up the chain saw and then crouched down low and started running the chain saw near our feet. I screeched and also laughed. ,thrilled,4
3113,0,0,0,1,Decrease,By walking in between people so if someone came up to us i would not be the target. ,Hallway,The empty hallway area where it was pitch black and actors placed throughout the hallway who scared us and followed with hammers and other weapons since we couldnt see very well. ,terrified,3
3110,1,0,0,1,Decrease,look at others,freaky,walking through the tunnel at the end of an event,terrified,1
3103,0,0,0,1,Increase,I grabbed my friend & screamed,Bus,The man hiding at the back of the bus who jumped out at me,terrified,3
